id;qrraws;state
69;t=20230720T1325&s=107.79&fn=9960440301498862&i=51083&fp=3782459733&n=1;1
70;t=20230605T2205&s=1856.93&fn=9960440301498862&i=43141&fp=3256778680&n=1;1
71;t=20230616T2237&s=1136.96&fn=9960440301500207&i=44756&fp=2314125278&n=1;1
72;t=20230721T1641&s=289.98&fn=9960440301500467&i=33537&fp=2977428845&n=1;1
73;t=20230704T1914&s=375.34&fn=9960440301498862&i=48494&fp=737788366&n=1;1
74;t=20240115T1114&s=108.28&fn=7282440500188699&i=67261&fp=882369067&n=1;1
75;t=20240114T0108&s=339.11&fn=7282440500188527&i=44263&fp=1130187424&n=1;1
76;t=20240110T0245&s=256.78&fn=7282440500188699&i=65386&fp=3048370546&n=1;1
77;t=20240107T2348&s=632.46&fn=7282440500188699&i=64611&fp=917715780&n=1;1
78;t=20240107T0132&s=595.47&fn=7282440500188723&i=53150&fp=1354765921&n=1;1
79;t=20240105T0114&s=465.77&fn=9960440302299023&i=154563&fp=576416397&n=1;1
80;t=20240112T1215&s=1201.65&fn=7281440501205730&i=15210&fp=3291793805&n=1;1
81;t=20240103T1701&s=760.86&fn=7282440500188699&i=63476&fp=2598965881&n=1;1
82;t=20240106T1521&s=582.36&fn=7282440500188527&i=42299&fp=1668017480&n=1;1
83;t=20240106T1509&s=2785.02&fn=7281440501205730&i=14403&fp=1524604860&n=1;1
84;t=20240105T1356&s=500.00&fn=9960440502957931&i=39110&fp=3285544795&n=1;1
85;t=20240105T1423&s=342.96&fn=7282440500188699&i=63945&fp=373387154&n=1;1
86;t=20240104T1946&s=503.20&fn=7282440500188527&i=41857&fp=3858295078&n=1;1
87;t=20231230T1631&s=124.98&fn=7282440500188699&i=62287&fp=2635099666&n=1;1
88;t=20231230T1623&s=163.88&fn=7282440500244063&i=11308&fp=965447986&n=1;1
89;t=20231227T2120&s=386.54&fn=7282440500188699&i=61203&fp=3390050068&n=1;1
90;t=20231225T2007&s=916.21&fn=7281440701337457&i=5532&fp=1138220094&n=1;1
91;t=20231224T1346&s=1059.00&fn=7281440501186942&i=9231&fp=3359479684&n=1;1
92;t=20231226T1514&s=541.30&fn=7282440500188723&i=48117&fp=1805534219&n=1;1
93;t=20231224T1427&s=1939.48&fn=7282440500188723&i=47260&fp=3803399686&n=1;1
94;t=20231224T1407&s=110.58&fn=7281440500550598&i=95060&fp=906148379&n=1;1
95;t=20231224T1400&s=379.98&fn=7282440500122004&i=11011&fp=759354266&n=1;1
96;t=20231224T1405&s=159.69&fn=7281440500550598&i=95058&fp=3410899458&n=1;1
97;t=20231224T1343&s=242.20&fn=7281440501205730&i=12353&fp=2257858839&n=1;1
98;t=20231223T1237&s=1386.71&fn=7282440500188699&i=59686&fp=3004533942&n=1;1
99;t=20231222T1609&s=805.24&fn=7282440500188699&i=59320&fp=41406372&n=1;1
100;t=20231218T2307&s=231.30&fn=7282440500188527&i=36524&fp=2021251011&n=1;1
101;t=20231220T2111&s=695.00&fn=7281440501186942&i=8728&fp=2780864168&n=1;1
102;t=20230907T2021&s=45.68&fn=7282440500188527&i=7824&fp=3802494931&n=1;1
103;t=20231222T1550&s=3551.76&fn=7281440501205730&i=12031&fp=1388582942&n=1;1
104;t=20231214T2125&s=170.18&fn=7282440500188723&i=42567&fp=3851543349&n=1;1
105;t=20231213T2128&s=1312.78&fn=7282440500188699&i=56512&fp=32171780&n=1;1
106;t=20231217T1556&s=43.29&fn=7282440500188699&i=57799&fp=2802241035&n=1;1
107;t=20231214T1327&s=115.77&fn=7282440500174927&i=9502&fp=1515690682&n=1;1
108;t=20231216T1406&s=889.94&fn=7282440500132267&i=54828&fp=3199467826&n=1;1
109;t=20231215T2119&s=378.73&fn=7282440500188723&i=42958&fp=2906402499&n=1;1
110;t=20231212T2139&s=443.46&fn=7282440500188723&i=41603&fp=2986399823&n=1;1
111;t=20231129T2102&s=197.00&fn=7281440500458009&i=25349&fp=2128596533&n=1;1
112;t=20231120T1845&s=589.34&fn=7282440500188723&i=33473&fp=295608272&n=1;1
113;t=20231122T1628&s=604.56&fn=7282440500188699&i=48683&fp=394451345&n=1;1
114;t=20231119T2231&s=53.08&fn=7282440500188527&i=26225&fp=3804526654&n=1;1
115;t=20231118T2219&s=32.47&fn=7282440500188699&i=47069&fp=2473469811&n=1;1
116;t=20231212T1459&s=437.24&fn=7282440500188527&i=34391&fp=1223270475&n=1;1
117;t=20231205T1814&s=997.16&fn=7281440501205730&i=9379&fp=1852782296&n=1;1
118;t=20231205T1824&s=876.33&fn=7282440500188527&i=31922&fp=1477826005&n=1;1
119;t=20231206T2130&s=601.99&fn=7282440500188527&i=32470&fp=3380447531&n=1;1
120;t=20231121T2130&s=339.98&fn=7282440500188527&i=26719&fp=3187283499&n=1;1
121;t=20231201T2126&s=493.09&fn=7282440500188723&i=37588&fp=3601178677&n=1;1
122;t=20231129T1249&s=554.68&fn=7282440500188723&i=36596&fp=3040648792&n=1;1
123;t=20231122T2121&s=259.98&fn=7282440500211874&i=9047&fp=160789711&n=1;1
124;t=20231125T1504&s=588.87&fn=7282440500188699&i=49649&fp=3089843385&n=1;1
125;t=20231125T1510&s=351.00&fn=7281440701285075&i=2184&fp=7626464&n=1;1
126;t=20231210T1355&s=97.14&fn=7282440500188699&i=55442&fp=1624766589&n=1;1
127;t=20231209T1820&s=463.04&fn=7282440500188527&i=33354&fp=4174922493&n=1;1
128;t=20231209T1816&s=1192.35&fn=7281440501205730&i=10060&fp=1209875285&n=1;1
129;t=20231115T2124&s=32.99&fn=7282440500167073&i=23595&fp=3221674626&n=1;1
130;t=20231115T2057&s=420.84&fn=7281440500458009&i=23931&fp=1442437582&n=1;1
131;t=20231029T1842&s=863.46&fn=7282440500188723&i=26026&fp=1087797369&n=1;1
132;t=20231027T2118&s=139.88&fn=7282440500167073&i=18199&fp=2206363837&n=1;1
133;t=20230930T2150&s=387.21&fn=7282440500188527&i=14079&fp=192329304&n=1;1
134;t=20231026T2146&s=109.99&fn=7282440500188723&i=25002&fp=3192370771&n=1;1
135;t=20231003T1132&s=841.28&fn=7282440500188723&i=16975&fp=1327566160&n=1;1
136;t=20231002T1505&s=60.78&fn=7282440500188723&i=16728&fp=600165496&n=1;1
137;t=20230827T1256&s=105.46&fn=7282440500188527&i=4794&fp=45462008&n=1;1
138;t=20230829T2013&s=170.15&fn=7282440500188699&i=7499&fp=747296307&n=1;1
139;t=20230925T2035&s=323.97&fn=7282440500188699&i=20112&fp=2594227074&n=1;1
140;t=20231004T2234&s=179.98&fn=7282440500188699&i=24387&fp=2104135291&n=1;1
141;t=20231005T1125&s=251.55&fn=7281440501205730&i=211&fp=2224475912&n=1;1
142;t=20231008T2109&s=441.30&fn=7282440500188699&i=25970&fp=227290444&n=1;1
143;t=20231005T2318&s=1307.58&fn=7282440500188527&i=15643&fp=2399536142&n=1;1
144;t=20231010T1415&s=938.05&fn=7282440500188699&i=26745&fp=1810099673&n=1;1
145;t=20231011T1347&s=894.70&fn=7281440501205730&i=1053&fp=159307943&n=1;1
